z,symbol,name,state_298k,density_g_cm3,melting_k,boiling_k,ionization_energy_ev,electron_affinity_ev,electronegativity,atomic_radius_pm,source
19,K,Potassium,Solid,0.89,336.53,1032,4.341,0.501,0.82,275,PubChem periodic table JSON
20,Ca,Calcium,Solid,1.54,1115,1757,6.113,,1,231,PubChem periodic table JSON
21,Sc,Scandium,Solid,2.99,1814,3109,6.561,0.188,1.36,211,PubChem periodic table JSON
22,Ti,Titanium,Solid,4.5,1941,3560,6.828,0.079,1.54,187,PubChem periodic table JSON
23,V,Vanadium,Solid,6.0,2183,3680,6.746,0.525,1.63,179,PubChem periodic table JSON
24,Cr,Chromium,Solid,7.15,2180,2944,6.767,0.666,1.66,189,PubChem periodic table JSON
25,Mn,Manganese,Solid,7.3,1519,2334,7.434,,1.55,197,PubChem periodic table JSON
26,Fe,Iron,Solid,7.874,1811,3134,7.902,0.163,1.83,194,PubChem periodic table JSON
27,Co,Cobalt,Solid,8.86,1768,3200,7.881,0.661,1.88,192,PubChem periodic table JSON
28,Ni,Nickel,Solid,8.912,1728,3186,7.640,1.156,1.91,163,PubChem periodic table JSON
29,Cu,Copper,Solid,8.933,1357.77,2835,7.726,1.228,1.9,140,PubChem periodic table JSON
30,Zn,Zinc,Solid,7.134,692.68,1180,9.394,,1.65,139,PubChem periodic table JSON
31,Ga,Gallium,Solid,5.91,302.91,2477,5.999,0.3,1.81,187,PubChem periodic table JSON
32,Ge,Germanium,Solid,5.323,1211.4,3106,7.900,1.35,2.01,211,PubChem periodic table JSON
33,As,Arsenic,Solid,5.776,1090,887,9.815,0.81,2.18,185,PubChem periodic table JSON
34,Se,Selenium,Solid,4.809,493.65,958,9.752,2.021,2.55,190,PubChem periodic table JSON
35,Br,Bromine,Liquid,3.11,265.95,331.95,11.814,3.365,2.96,183,PubChem periodic table JSON
36,Kr,Krypton,Gas,0.003733,115.79,119.93,14.000,,3,202,PubChem periodic table JSON
37,Rb,Rubidium,Solid,1.53,312.46,961,4.177,0.468,0.82,303,PubChem periodic table JSON
38,Sr,Strontium,Solid,2.64,1050,1655,5.695,,0.95,249,PubChem periodic table JSON
39,Y,Yttrium,Solid,4.47,1795,3618,6.217,0.307,1.22,219,PubChem periodic table JSON
40,Zr,Zirconium,Solid,6.52,2128,4682,6.634,0.426,1.33,186,PubChem periodic table JSON
